,USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,Party
210,266,1981.0,Male,"over $150,000",Single (no kids),,,,Yes,,Yes,Yes,Public,No,,,Yes,No,,Yes,Science,Study first,Yes,No,No,Yes,Receiving,,,,,,Hot headed,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Demanding,No,PC,No,Cautious,No,Yes!,No,Space,Yes,In-person,No,Yes,No,Yes,Grrr people,Yes,No,Yes,No,No,Yes,No,Yes,Yes,,,,Own,Optimist,Dad,No,No,No,No,Nope,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,No,Republican
47,58,1990.0,Male,"$50,000 - $74,999",Single (no kids),,,Yes,No,No,No,Yes,Public,No,No,No,Yes,No,No,Yes,Art,Try first,Yes,No,No,No,Receiving,No,No,Idealist,No,Yes,Hot headed,Odd hours,Yes,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,No,No,Me,No,,,,No,TMI,No,No,Tunes,People,,,,,Yes,Demanding,Yes,Mac,Yes,Risk-friendly,Yes,Yes!,No,Space,Yes,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,Rent,Pessimist,Mom,No,Yes,No,,Check!,No,No,No,Yes,,Yes,Yes,Yes,No,No,Democrat
2218,2765,1984.0,,"$50,000 - $74,999",Married (no kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,Yes,Cool headed,Odd hours,No,Right,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1945,2411,1995.0,Male,"$50,000 - $74,999",Single (no kids),Current K-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Me,,,,,No,,,,Tunes,,,,,,,Supportive,,Mac,,,,,,,,,,,,Yes,,,No,Yes,,,,Yes,,,,,Yes,,,,No,,Yes,Yes,,,,,,,,,,,Yes,Democrat
879,1095,1972.0,Female,"over $150,000",Married (w/kids),Bachelor's Degree,,Yes,No,No,No,No,Public,No,Yes,No,No,No,No,Yes,Art,Try first,Yes,No,Yes,No,Giving,Yes,,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,End,Yes,No,Circumstances,No,No,No,Yes,No,TMI,No,Yes,Tunes,People,Yes,No,No,No,Yes,Demanding,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,,No,Own,Optimist,Mom,No,No,Yes,Yes,Nope,Yes,No,No,,Yes,Yes,Yes,,,No,Democrat
5296,6612,1995.0,Female,"under $25,000",Single (no kids),Current Undergraduate,,No,No,No,No,Yes,Public,No,,,Yes,Yes,Yes,Yes,Art,Study first,No,Yes,Yes,Yes,Receiving,No,Yes,Idealist,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1175,1455,1993.0,Male,,Single (no kids),Current Undergraduate,No,Yes,No,No,No,No,Public,No,Yes,Yes,Yes,Yes,Yes,Yes,Science,Try first,No,No,No,No,Giving,Yes,Yes,Idealist,No,Yes,Hot headed,Odd hours,No,Right,No,Yes,No,No,P.M.,Yes,End,No,Yes,Me,Yes,Yes,No,No,Yes,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,PC,No,Risk-friendly,No,Yes!,No,Space,No,Online,No,Yes,No,Yes,Grrr people,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Own,Pessimist,Dad,No,No,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Republican
2422,3019,1997.0,Male,"over $150,000",Single (no kids),Current K-12,Yes,Yes,No,No,Yes,No,Public,Yes,No,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,No,No,Receiving,Yes,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,No,No,No,Yes,P.M.,,End,Yes,Yes,,Yes,Yes,Yes,Yes,No,TMI,No,No,,Technology,No,,Yes,,Yes,Supportive,No,Mac,,Risk-friendly,No,Umm...,,Space,Yes,In-person,No,No,No,,Grrr people,Yes,No,No,No,No,No,,,Yes,No,No,No,Own,Pessimist,Dad,Yes,No,No,No,,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Republican
1144,1414,1995.0,Male,"under $25,000",Single (no kids),Current K-12,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,End,Yes,No,,Yes,Yes,Yes,No,No,Mysterious,Yes,Yes,Tunes,People,Yes,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Cautious,No,Umm...,No,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Own,Optimist,Dad,No,Yes,No,Yes,Check!,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Republican
2458,3065,1982.0,Male,,Married (no kids),Bachelor's Degree,,Yes,,,Yes,Yes,Public,No,Yes,No,,No,,,,,No,,,Yes,Giving,Yes,Yes,Idealist,,,Cool headed,Standard hours,No,Right,,,,,,,,,,,,,,,,,,,Talk,,,,,,,,,PC,Yes,Risk-friendly,Yes,Yes!,No,Socialize,Yes,In-person,No,,,,,No,Yes,No,No,,,,Yes,No,Yes,No,No,Own,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Democrat
5436,6787,1990.0,Male,"$75,000 - $100,000",Single (no kids),Master's Degree,,,,,Yes,Yes,Public,Yes,No,Yes,Yes,Yes,Yes,Yes,Science,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
3634,4528,1987.0,Male,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,No,Yes,No,Yes,No,No,Public,Yes,No,No,No,Yes,,Yes,,,No,Yes,No,Yes,Receiving,,Yes,Pragmatist,Yes,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,No,No,Me,Yes,Yes,Yes,Yes,Yes,Mysterious,No,No,Tunes,Technology,Yes,No,Yes,Yes,No,Supportive,No,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,Pessimist,Dad,,Yes,Yes,Yes,Check!,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,Republican
4031,5026,1995.0,Female,"over $150,000",Single (no kids),Current K-12,,Yes,,No,No,Yes,Public,No,Yes,Yes,Yes,No,Yes,Yes,Science,Try first,Yes,Yes,Yes,Yes,Giving,No,No,Idealist,No,Yes,Hot headed,Standard hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,No,No,Yes,Yes,No,Mysterious,Yes,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,No,PC,Yes,Risk-friendly,Yes,Yes!,No,Space,Yes,Online,No,No,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Democrat
